id_ticket,id_producto,precio,unidades
376453,41,6.86,2
376453,174,2.42,1
376454,46,8.84,1
376454,139,6.67,1
376454,92,2.91,1
376455,32,7.85,2
376455,183,3.7,1
376456,40,5.88,1
376456,121,6.67,1
376457,110,2.91,1
376457,116,2.91,1
376457,48,11.8,2
376458,22,5.88,1
376458,60,5.38,3
376458,105,0.99,1
376459,136,9.83,2
376459,126,2.91,1
376459,120,2.91,2
376460,31,7.46,1
376460,168,2.42,1
376461,45,4.15,2
376461,155,2.72,3
376461,110,2.91,1
376462,74,5.88,3
376462,8,9.83,1
376462,49,9.33,1
376463,4,10.32,3
376463,136,9.83,2
376464,165,2.42,2
376464,143,0.49,3
376464,108,2.72,2
376465,11,11.8,2
376465,153,2.72,1
376465,52,8.35,3
376466,144,0.49,1
376466,102,2.91,1
376466,58,6.37,1
376467,161,2.42,1
376467,126,2.91,1
376467,55,5.38,3
376468,130,9.83,1
376468,106,0.99,1
376469,140,3.41,1
376469,170,2.22,1
376469,102,2.91,1
376470,155,2.72,4
376470,56,8.35,1
376470,90,2.91,3
376471,51,6.86,2
376471,6,8.84,1
376472,157,0.99,1
376472,50,8.84,2
376472,53,6.86,1
376473,14,8.84,3
376473,35,7.85,1
376474,125,3.41,1
376474,85,3.41,2
376474,23,9.83,1
376475,20,7.46,1
376475,75,4.89,1
376476,165,2.42,2
376476,133,4.89,2
376477,78,1.19,1
376477,149,2.42,1
376478,65,1.48,2
376478,134,4.89,3
376479,140,3.41,3
376479,90,2.91,3
376479,45,4.15,2
376480,113,3.9,3
376480,89,2.91,2
376481,183,3.7,1
376481,107,2.91,3
376481,90,2.91,1
376482,129,9.83,1
376482,111,2.72,1
376483,121,6.67,3
376483,60,5.38,2
376484,149,2.42,3
376484,65,1.48,2
376484,13,10.81,3
376485,94,3.21,3
376485,76,5.38,3
376485,114,3.7,2
376486,151,2.47,1
376486,94,3.21,2
376486,46,8.84,2
376487,169,2.72,1
376487,31,7.46,2
376488,104,0.99,1
376488,88,2.91,2
376488,143,0.49,2
376489,184,5.68,1
376489,32,7.85,1
376489,35,7.85,1
